,paths,target,resolution,sharpness,brightness,size,noise,Number of Anomalies,Anomaly
0,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/10-rotated2-rotated1-rotated1.jpg,fractured,"(224, 224)",73.8688703264509,82.44882015306122,150528,42.20579454287902,0,False
1,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/10-rotated3-rotated1.jpg,fractured,"(224, 224)",297.24049611788695,83.0428691007653,150528,41.81850266270492,0,False
2,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated1-rotated3.jpg,fractured,"(224, 224)",330.90910848405446,63.67352917729592,150528,56.98318006339575,2454,False
3,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated2-rotated1.jpg,fractured,"(224, 224)",432.52755168992644,68.60670440051021,150528,55.84101220845015,2763,True
4,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated2.jpg,fractured,"(224, 224)",567.5242757975981,71.26895328443878,150528,57.082232676875584,735,False
5,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated1-rotated2.jpg,fractured,"(224, 224)",215.24481931977942,62.12147241709184,150528,56.90546963344703,2226,False
6,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated1.jpg,fractured,"(224, 224)",317.23933651347,64.12777024872449,150528,56.30648628266117,2451,False
7,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/100-rotated3-rotated2-rotated1.jpg,fractured,"(224, 224)",207.74796470529284,61.64469068877551,150528,57.01032299614685,2136,False
8,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated1.jpg,fractured,"(224, 224)",236.25754992935066,77.9653619260204,150528,57.25595389301212,0,False
9,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated2-rotated3.jpg,fractured,"(224, 224)",171.10095569740875,79.53467793367346,150528,56.16274015132909,0,False
10,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated2-rotated2.jpg,fractured,"(224, 224)",187.38290907332728,77.68413185586735,150528,57.51088253928034,0,False
11,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated1.jpg,fractured,"(224, 224)",205.97315396074947,74.99198820153062,150528,59.19662363602736,0,False
12,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated2-rotated2.jpg,fractured,"(224, 224)",166.04647292042213,76.18763950892857,150528,58.71538283042714,0,False
13,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/101-rotated3-rotated3-rotated2.jpg,fractured,"(224, 224)",145.45236792280397,76.85640545280613,150528,58.249812231677275,0,False
14,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated1-rotated1.jpg,fractured,"(224, 224)",95.49800210910655,53.72901387117347,150528,42.28674701660439,168,False
15,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated1-rotated2.jpg,fractured,"(224, 224)",90.21261693119557,53.42289142219388,150528,42.399564715551605,168,False
16,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated2-rotated1.jpg,fractured,"(224, 224)",119.31437021372273,54.44258211096939,150528,41.772148615237256,225,False
17,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated1-rotated3-rotated1.jpg,fractured,"(224, 224)",88.43207454681396,50.48417570153061,150528,42.73960244990905,183,False
18,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Production/2024-03-01/fractured/102-rotated2-rotated1-rotated3.jpg,fractured,"(224, 224)",93.28733134875442,53.3957669005102,150528,42.35636810754661,183,False
