,text,length,readability
0,"Chelsea boss Jose Mourinho is planning a summer swoop for Atletico Madrid midfielder Koke. The club's technical director Michael Emenalo travelled to Spain on Saturday to watch the 23-year-old during Atletico's 2-1 victory against Deportivo, according to Spanish newspaper AS. The highly-rated Spaniard signed a long-term deal with Diego Simeone's side only last year, but Mourinho is reportedly planning to offer second-choice left-back Filipe Luis to his former club as a makeweight for the deal. Chelsea boss Jose Mourinho could be planning a summer swoop for Atletico Madrid midfielder Koke (above) Spanish newspaper AS report that Mourinho could offer Filipe Luis in a part-exchange deal this summer . Luis has struggled to make an impact at Stamford Bridge this season after failing to displace Spanish defender Cesar Azpilicueta from the left-back spot. AS also report that Koke's release clause is around £50million which Chelsea could be willing to shell out as Mourinho looks to add to a midfield that has looked tired at times this season. Koke, an Atletico academy graduate, was instrumental as the club reached the final of the Champions League before losing to local rivals Real Madrid last season and has . Koke in action during Atletico's 2-1 La Liga victory against Deportivo on Saturday . Chelsea defender Filipe Luis (right) could be set for a move back to his former club .",226,11.7
1,"A 21-year-old man has been charged with second-degree murder after allegedly shooting dead his fiancée at their Minnesota home on  Easter morning while holding their baby daughter in his arms. Dimitri Harrell reportedly pulled out his gun and pointed it at 19-year-old Samirria White after they started arguing over his 'infidelity' in the bedroom of their St Paul apartment at around 3.40am. Carrying the couple's three-month-old child, he then shot Miss White in the face at close range, according to police. When medics arrived at the scene, they pronounced the young mother dead. Now, Harrell, who later admitted to having stored his handgun under his daughter's mattress, has been charged with one count of second-degree murder at Ramsey County District Court. Shooting: Dimitri Harrell (right) has been arrested after allegedly shooting dead his fiancée, Samirria White (left), at their Minnesota home on Easter morning while holding their baby daughter (center) in his arms . The suspect, who had  'trust issues' with Miss White after having two children by another woman, remains in custody in lieu of $200,000 bail. If convicted, he faces up to 40 years in prison. In the moments before Sunday's shooting, Harris had been arguing with Miss White after he had vanished from the apartment several times during the night, arousing her suspicions, relatives said. During an interview with police, the suspect apparently told officers he had then tried to pull his gun - which he had bought several days earlier - from his pocket while holding the couple's baby daughter. However, the weapon had accidentally discharged, he said, causing a bullet to strike Miss White in the face, according to the Star Tribune. It is unclear whether he explained why he took out the gun. Tragic: Harrell reportedly pulled out his gun and fired at 19-year-old Miss White (pictured with their daughter) after they started arguing over his 'infidelity' in the bedroom of their St Paul apartment at around 3.40am . Arrest: Now, Harrell has been charged with one count of second-degree murder at Ramsey County District Court. Above, the suspect is pictured in his mug shot (left) and posing with Miss White and their baby (right) Several people - including some of the victim's siblings - were also in the property at the time of the alleged murder. Many of them heard yelling come from the couple's bedroom, CBS reported. Miss White's 16-year-old brother, who woke up after apparently hearing his sister scream 'Don't point that gun at me!',  ran into the room when he heard the gunshot. There, he found his sister dead . The boy yelled at Harrell to get away from Miss White, according to a complaint obtained by the Tribune. In response, the suspect apparently told him it was an accident and fled the scene. After emergency crews arrived at the scene, Miss White was declared dead and the bedroom was cordoned off. Police later found the gun on Harrell's 'close friend', who was in the apartment. Scene: The shooting occurred in the 800 block of Pierce Butler Route (pictured) in Minnesota on Sunday . Family: In the moments before Sunday's shooting, Harris had been arguing with Miss White after he had vanished from the apartment several times during the night, arousing her suspicions, relatives said . The man, who has not been identified by officials, had reportedly received the weapon from Harrell just minutes after the shooting. The suspect had apparently told him: 'Do something with this'. Harrell, who is pictured with Miss White and their daughter in numerous Facebook photos,  told police that their relationship had been rocky since the births of his  two children by a different woman. On Tuesday, relatives described Miss White, a former Humboldt Senior High School student, as a 'spontaneous' and loving woman who had hoped to become a nurse and adored her daughter. On her Facebook page, Miss White lists the date she got engaged as March 23, 2012. She also reveals that she was born in Elgin, Illinois. Her three-month-old daughter's name is unknown.. Pregnancy: On Tuesday, relatives described Miss White (left, pregnant with Harrell and right, in another pregnancy shot) as a 'spontaneous' woman who had hoped to become a nurse and adored her daughter .",705,10.3
2,"Cristiano Ronaldo is to give Real Madrid a timely boost after his yellow card against Rayo Vallecano - which would have seen him suspended -  was rescinded. AS believe the annulment of the booking by the Competitions Committee is key, considering Iker Casillas, Toni Kroos, James Rodriguez and Gareth Bale are all out of the clash with Eibar. Jese is to start his first game in 389 days in Bale's absence and Real boss Carlo Ancelotti was quoted saying: 'With this injury you still have problems a year later.' AS say that Cristiano Ronaldo's availability is key and Mundo think a Barca win puts them 'halfway to La Liga' The injury-prone duo of Sami Khedira and Fabio Coentrao will be missing once again, as their future's at the club continue to look bleak. Mundo Deportivo are reporting that if Barcelona beat Sevilla, then they're 'halfway to La Liga,' as Luis Enrique welcomes back Jordi Alba, Sergio Busquets and Neymar to boost their ranks. Three-time Ballon d'Or winner Lionel Messi, can reach the impressive 400-goal mark if he hits a double at Sevilla, as his unbelievable goal-scoring record continues to grow. Mundo also have top secret news that full back Alba is in deep discussions about extending his contract at the Catalonian club. Sevilla goalkeeper Sergio Rico has the task of stopping Barca's trio and Juventus on course to win a treble . Madrid-based paper Marca say that one of Spain's hottest goalkeeping prospect's Sergio Rico has been given the task of stopping Barca's formidable trio of Luis Suarez, Neymar and Messi. In Italy, La Gazzetta dello Sport, focus on Juventus' chance of winning the treble and describe Massimiliano Allegri as 'Ruthless, rugged, prolific.' Goal-line technology is a hot topic of discussion as the Gazzetta and Corriere dello Sport both report that it will be brought in for the Coppa Italia Final between Juventus and Lazio. Chelsea star Oscar is also touted for a move to the Serie A champions in an exclusive interview with Brazilian coach Dunga in Tuttosport, who likened him to Italian legend Roberto Baggio. Goal-line technology is a major talking point in Italy as it's confirmed for the Coppa Italia Final .",365,13.0
3,"Police are hunting the owner of a 'Staffy-type' dog after a four-year-old girl suffered bite wounds to the face. The child was outside shops with her older sister in Brighton, East Sussex, when the dog attacked her. Sussex police say the girl suffered a single puncture wound to her upper lip following the incident in Findon Road, Whitehawk, at around 6.30pm on Thursday. Attack: Police are hunting the owner of a 'Staffy-type' dog after a four-year-old girl suffered bite wounds to the face (file picture) The youngster was taken to the Royal Alexandra Children's Hospital to undergo treatment. Police said the dog was off the lead with two similar dogs - two were black and one was white. They were with a man described as being in his 50s, with purple hair and a brown moustache. Anyone with information is asked to contact police. The girl suffered a single puncture wound to her upper lip following the incident in Findon Road (pictured), Whitehawk .",164,8.0
4,"The family of a teenager who should have died after overdosing on a mix of heroin and Xanax has shared images of him in hospital in a bid to deter others from taking drugs. Brayden Travis, 18, was left without medical attention for seven hours after taking drugs at a friend's house in St Charles County, Missouri in early March. His lungs and kidneys failed, and he suffered a stroke and severe brain damage. Doctors warned that he will likely remain in a vegetative state, his mother, Kelly Smith-Miller, wrote on Facebook. She also shared a starling photograph of the teenager unconscious in a hospital bed with breathing apparatus and wires across his body. Overdose: Brayden Travis, 18, suffered a stroke and severe brain damage after overdosing on heroin and Xanax last month. His mother shared this photo of him to Facebook to deter others from taking drugs . 'If my son's story and picture can save one life or contribute to the education and awareness of drug abuse, then he and I are very happy!' she wrote in her post. 'He wouldn't want this for anyone else and he would tell anyone not to use drugs … ever! I can tell you he tried to fight this addiction and I pray this time it hasn't won!' The post has been shared more than 337,000 times. Brayden is now breathing on his own and wakes up and opens and closes his eyes, although his reactions are inconsistent, the St Louis Post-Dispatch reported. 'Medical personnel believe my son should have been dead long before he was able to get the medical attention he needed, but for some unknown reason he has stabilized,' she wrote. Addiction: His mother explained that Brayden, left before the overdose, has struggled with drug addiction since he was 15. He is now conscious in hospital, seen right, and is breathing on his own . 'He is making progress, but we have a long road to travel. Even though the outcome is not expected to be positive, as a mother I will not give up until I have exhausted all options and know that I've done everything I can.' Brayden had long been battling with addiction, she said. He first started smoking marijuana when he was 15 and eventually moved on to heroin. He enrolled in five or six treatment programs and left three of them, she told the Post-Dispatch. He spent eight months in juvenile custody for using drugs and failing drug tests, she added. As he struggled with addiction, he moved between his grandmother's home and his mother's home, and at the time of his overdose, he was living with his father in St Charles County. By his side: Mother Kelly Smith-Miller, pictured with her son left, and his father, Todd Travis, right, said they hope he will pull though so he can 'come home and have a life that will be worth living' 'He was living with me doing well, then I go in his room every morning to check on him and he is gone,' his dad, Todd Travis, wrote on his own Facebook page. 'He is my only child, my mini me, and my life! Please everyone pray for Brayden to someday have his body and and his brain healed so he can come home and have a life that will be worth living.' Speaking to the Post-Dispatch, Travis, who tried to set a good example for his son by working out and eating well, added: 'You go over what you could have done better.' But he is still hopeful that his son will recover, and shared his joy on Facebook that his son has been laughing in hospital. 'I'm looking into his eyes, man - and he's looking at me,' he said.",630,8.2
5,"COOK'S BRADMAN JINX . With overcast conditions and moisture in the air, it’s easy to see why the out-of-nick Alastair Cook put West Indies in to bat. On Test Match Special, Graeme Swann revealed the exact moment Cook’s form with the bat took a turn for the worse. He said: ‘Two years ago when England were in New Zealand, Brendon McCullum said Cook was the closest thing to Don Bradman. 'He hasn’t scored a ton since. It’s the greatest piece of reverse psychology I’ve ever seen.’ Alastair Cook's former team-mate Graeme Swann pointed out when the England captain's form turned . RASHID MADE TO WAIT . While the rain came down in the morning, there was much talk of whether Yorkshire’s leg-spinning all-rounder Adil Rashid would play in this Test. Despite many calling for his inclusion, the 27-year-old will have to wait to make his debut. Assuming he is the next man to do so, he will be England’s 666th Test player - though he will have the chance to skip straight to 667. Adil Rashid was made to wait for his Test debut after being left out after much discussion on day one . WOE FOR BRAVO . Marlon Samuels might have an excellent record against England, but Darren Bravo does not. The batsman has no 50s in five Tests against them - at a paltry average of 19.75 - so who can blame him for getting fidgety and poking at a wide ball from Stuart Broad as he crept towards the half-century mark? Kraigg Brathwaite is first to fall as James Anderson bowls the West Indies opener with a massive in-swinger . BIG DAY FOR GRENADA . Viewers may not be familiar with Grenada’s National Cricket Stadium as it is hardly a regular Test venue. After being built in 1999, it was damaged by Hurricane Ivan in 2004 and rebuilt in time for the 2007 World Cup. As a result, this is only the third Test it has hosted, and on Tuesday Devon Smith became the first Grenadan ever to score a Test run in Grenada. Devon Smith walks off after being dismissed without hitting the ball after being the first local to score a Test run in Grenada . Joe Root 'wasn't a massive fan' after the first time he faced now team-mate James Anderson . ROOT’S RUDE AWAKENING . In his latest ECB blog, Joe Root gives an insight into what it’s like for a batsman to face up to Jimmy Anderson. ‘I’ll never forget the first time I came across Jimmy, early in the 2011 season,’ said Root. ‘I was 20 and fairly new in the Yorkshire first team. He was making a rare county appearance for Lancashire in a Roses Match in Liverpool and let’s just say he was quite aggressive. 'He took me a bit by surprise and on that initial evidence I wasn’t a massive fan.’ FAMILY VALUES . At tea, Anderson’s father, Michael, spoke to TMS about the making of England’s leading wicket taker. ‘Every evening when I came home from work we would play out in the garden and he wouldn’t let me give my wicket away - he would always make sure he got me out,’ he said.",539,6.3
6,"In the end it took a searching ball from the cultured boot of Andrea Pirlo to settle this tie, a 70-yard pass that caught out Ricardo Carvalho for pace. This was far from a masterful performance by the Juventus midfielder, but he was entitled to ease himself in to this Champions League tie. Pirlo had, after all, been out for seven weeks with a calf injury before he was called upon to start this quarter-final tie. His 57th-minute pass, which sailed over the heads of the players in both teams towards the target of Alvaro Morata, led to the controversial moment when Czech referee Pavel Kralovec awarded a penalty. Carvalho, who had been immense alongside Aymen Abdennour in the heart of the Monaco defence, collided with the Juventus forward as he made his way towards goal. Juventus midfielder Arturo Vidal steps up to score from the spot against Monaco in Tuesday's Champions League quarter-final first leg . Monaco defenders Fabinho (left) and Andrea Raggi watch on as Vidal strikes home a penalty to give Juventus the lead in the second half . Monaco goalkeeper Danijel Subasic can only watch on as  Vidal sends him the wrong way and puts the ball into the top corner . The Chile international lets out a roar after giving his side the lead from the spot as goalkeeper Subasic looks on at the Juventus Stadium . Vidal celebrates and punches the air as Juventus gained the advantage against Ligue 1 side Monaco on Tuesday night . Juventus fans are rapturous as the team celebrate having taken the lead on 57 minutes after Ricardo Carvalho gave away the penalty . Ricardo Carvalho keeps his eye on the ball but trips Alvaro Morata to give away a penalty - initial contact was seemingly outside of the area . Referee Pavel Kralovec pointed to the penalty spot after Carvalho and Morata crashed to the ground inside the area . Juventus forward Carlos Tevez, pictured with Monaco defender Aymen Abdennour (left), showed off his impressive body art at full-time . JUVENTUS: Buffon 7; Lichsteiner 6, Bonucci 6.5, Chiellini 7, Evra 6.5; Vidal 6, Pirlo 6 (Barzagli 74, 6), Marchisio 6; Tevez 7, Pereyra 7 (Sturaro, 87), Morata 6 (Matri, 83). Substitutes: Storari, Pepe, Llorente, Padoin. Scorer: Vidal (pen), 57 . Manager - Massimiliano Allegri: 6.5 . MONACO: Subasic 7; Raggi 6 (Berbatov 71), Carvalho 7, Abdennour 7.5, Kurzawa 6.5; Joao Moutinho 7, Fabinho 6, Kondogbia 6.5; Dirar 6.5 (Silva 51, 6), Martial 7 (Matheus Carvalho, 87), Ferreira-Carrasco 7. Substitutes: Stekelenburg, Wallace, Germain, Elderson. Booked: Carvalho. Manager - Leonardo Jardim: 6.5 . Referee: Pavel Kralovec (Czech) 5 . Man of the match: Abdennour . Arturo Vidal settled it from the spot, putting Juve into a lead that they will need to defend when they travel to Stade Louis II for the second leg of this quarter-final next Wednesday. It is far from over. Juve’s coach Massimiliano Allegri knows that, saving the legs of Pirlo by replacing him with the defensive mind of Andrea Barzagli a few minutes after Vidal’s opener. This team, who have set the pace all season in Serie A and are 12 points clear of their nearest rivals Lazio, were a touch disappointing in this first leg. Carlos Tevez, who has scored six goals in the Champions League, dropped off in search of the ball in to feet from Pirlo, but this was not his night. Alongside him Roberto Pereyra faded after a bright opening and Morata’s contribition was the incident which led to Juventus being awarded their penalty. Before that Pirlo had patrolled the centre of Juve’s midfield with his usual classy touches, prodding around without being able to influence the tie in a way that he would have wanted. Even so they failed to score in the opening 45 minutes because Vidal, usually so dependable in this Juve team, could not find the target. Everything was wayward, earning a deserved rebuke from Tevez when he screwed wildly over the crossbar of Monaco keeper Danijel Subasic. Pirlo gave him the eyes after he missed another chance, streaking down the left before his right foot shot flew into the stands. In many way this was a subdued Juve performance, falling short of the standards they set when they beat Borussia Dortmund 5-1 on aggregate in the second round. Expectations have been raised. They would dearly love to reach another final, to win the Europen Cup for the third time in their history, but it will take something special to beat the best teams left in the tournament after the second legs are played next week. There is no guarantee they will survive the second leg because Leonardo Jardim’ s team are an adventurous bunch, playing without fear after their fine run in the competition. They had chances here, notably from Yannick Ferreira-Carrasco, the man who scored Monaco’s third goal at the Emirates on that memorable night in the previous round. Monaco midfielder Geoffrey Kondogbia blocks an effort at goal from Juventus forward Tevez on the edge of the area . Monaco frontman Yannick Ferreira Carrasco fires the ball towards goal past Juventus defender Patrice Evra during Tuesday night's clash . Juventus pair Giorgio Chiellini and Vidal lose out to Monaco forward Anthony Martial in an aerial duel . Monaco wideman Nabil Dirar gets the better of Juventus midfielder Andrea Pirlo during the quarter-final first leg clash in Turin . Monaco forward Anthony Martial and Juventus' Chile international Arturo Vidal do battle for the ball midway through the first half . This time he had the formidable figure of Gianluigi Buffon to beat and failed to take the chances created for him in the tenth and 12th minute. After that Monaco sat back, allowing Tevez space at the back post to draw a save from Subasic and giving left-back Patrice Evra scope to maraud down the flank. Ultimately this tie was decided from the penalty spot, a complex and strange decision that was made after a long pause by the Czech match official. Vidal took the chance, but Pirlo was the undisputed match-winner. Andrea Pirlo patrolled the Juventus midfield having been sidelined for seven weeks through injury - click HERE for our brilliant Match Zone . Juventus defender Giorgio Chiellini pushes Monaco's Martial off the ball to regain possession for the home team . Stephane Lichsteiner (right) and Claudio Marchisio gang up on Monaco frontman Ferreira-Carassco in a bid to dispossess the Belgian . Monaco's Portugal international Joao Moutinho gets the better of Pirlo in the air at the Juventus Stadium . Juventus goalkeeper Gianluigi looks on with clenched fists after making a save for the Serie A champions on Tuesday evening . Juventus manager Massimiliano Allegri gives his side instructions from the touchline during the Champions League tie against Monaco . The two sides line up on the Juventus Stadium pitch ahead of kick-off before Tuesday's Champions League clash in Italy .",1156,9.4
7,"Victor Wanyama took to social media on Thursday in a bid to dismiss rumours he was set to quit Southampton for Arsenal. 'To cut the story short have never spoken to Wenger,' Kenyam midfielder Wanyama wrote on Twitter, prompting an outpouring of praise from Southampton fans, and less enthusiastic responses from Gunners supporters. The Saints enforcer later followed those comments with a series of tweets, saying: 'The newspaper article does not say that I have spoken to Wenger or anyone else from Arsenal - and that's the truth.' Victor Wanyama's stock has risen in the Premier League since arriving at Southampton from Celtic . Saints midfielder claims that he has never spoken to Arsene Wenger over a move to the Emirates . The Sun linked the 23-year-old with Arsenal, quoting Wanyama as saying Wenger had been discussing him and had 'let it be known' he was interested in signing the former Celtic powerhouse. He was linked with the Gunners before moving from Celtic to Southampton for £12.5million in 2013 and his stock has risen in the Premier League after forging a midfield partnership with another reported Arsenal target  Morgan Schneiderlin. The Kenya international reportedly told The Sun that he is open to a move that would see him playing Champions League football next season after Wenger expressed interest in signing him. According to the paper, Wanyama said: 'Wenger has been talking about me, and he has let it be known he would like to sign me this summer, . 'Arsenal are a great club and I'd love to play Champions League football as I loved being on that stage with Celtic. 'But we've had a fantastic season at Saints and I want to stay focused on helping the club qualify for Europe. Then we'll see where I end up in the summer.' Southampton are expected to lose more players in the summer, including Morgan Schneiderlin . Wanyama has reportedly not ruled out a reunion with former Saints boss Mauricio Pochettino at Tottenham . The tough-tackling midfielder has also been linked with a reunion with former Saints boss Mauricio Pochettino at Tottenham and Wanyama has apparently not ruled out a move to the opposite end of north London. 'If I get the chance, maybe,' he reportedly told the Sun. 'You never know what will happen in the future. It's nice to be linked with other clubs as it means I'm playing well.' Despite surprising many with their positive performances this season, especially after losing star players including Luke Shaw, Adam Lallana and Dejan Lovren, Ronald Koeman's side is expected to to lose the likes of Schneiderlin and Nathaniel Clyne at the end of the season.",444,10.7
8,"Crystal Palace would sell coveted winger Yannick Bolasie for '£40million to £60million', according to manager Alan Pardew. Pardew claims all his players are 'undervalued' as the Selhurst Park club bid to assert their Barclays Premier League clout. The former Newcastle boss is ready to fend off big-money bids for his in-demand stars like Bolasie and defender Scott Dann - but conceded 'every player has a price'. Alan Pardew says he would sell Yannick Bolasie if Crystal Palace were offered £40-60million . Bolasie has been in fine form in recent weeks as Palace have enjoyed a successful second half of the season . Democratic Republic of Congo star Bolasie joined Palace for around £400,000 from Bristol City in 2012 but has risen steadily in standing ever since. Last week Pardew slapped a £20m price tag on the 25-year-old's head with Liverpool circling - now he has casually bandied about figures three times as high. 'I'll sell Yannick, if someone wants to give me £40m to £60m, somewhere in there, that would be good,' Pardew said. 'I'll take it and we'll build the team around that money. Every player has a price, of course. All these players here are undervalued, in my opinion. 'This is a top-10 team at the moment, top 12, yet if you put the valuation of our squad against any of the other teams above us, and some below, it's not right. 'So I'm going to address that. Anyone who rings me up will get a proper price. It's only our second year in the Premier League so it's understandable (if players are undervalued). Bolasie celebrates after netting for Palace, as he has begun to add goalscoring to his all-round game . Bolasie scored a hat-trick against Sunderland a few weeks ago, and is attracting the attention of top clubs . 'You need to put your credentials there every week. I think these players are starting to do that now; Bolasie, (Jason) Puncheon, (Joel) Ward, (Damien) Delaney. 'Therefore when I hear figures being talked about players, they are not even close to where I value these players. 'It's very easy to address: a manager has to ring me up and I will tell him the price, and that will be addressed.' Lyon-born Bolasie bagged a hat-trick in Palace's 4-1 Premier League win at Sunderland on April 11, his fine form since prompting a raft of transfer speculation. Liverpool's initial plans to offer £10million this summer have been thwarted, but boss Brendan Rodgers is weighing up offering striker Rickie Lambert as well as increasing his transfer bid. Pardew says he is not keen to lose his star man, but would sell him if the right offer came in . Pardew insists several of his players, including Jason Puncheon (left) and Joel Ward, are undervalued . While Pardew will be at pains to hold onto all his front-line talents at Palace over the summer, the ex-Eagles midfielder conceded the club may not be able to resist an outrageous bid. Pardew said Palace could end up wise to repeat the calculated 'gamble' he helped take at Newcastle when the St James' Park club sold Andy Carroll to Liverpool for £35million in 2011. The Selhurst Park manager believes selling one star for big money can help rejuvenate an entire squad. 'I can think of a situation I had at Newcastle, the last day of the window, a team that wasn't great, not too far away from the relegation zone and we accepted a big bid for Andy Carroll,' Pardew said. 'I said to the chairman at the time that that was a gamble. We were by no means secure; we'd only just come up from the Championship that year. 'But we did it, we spent the money wisely and we ended up with a very, very good team. So it is about the right price for the right player, and then you have to build on that.'",655,7.4
9,"Nasa has released incredible point-of-view footage taken by astronauts on spacewalks of the International Space Station. Expedition 42 commander Barry Wilmore and flight engineer Terry Virts recorded three spacewalks, known as Extra Vehicular Activities, on GoPro cameras outside the ISS on February 25 and March 1. The spacewalks were in preparation for the arrival of multibillion pound commercial spacecraft, which Nasa hope will be in operation by 2017. Expedition 42 commander Barry Wilmore and flight engineer Terry Virts recorded three spacewalks on GroPro cameras . Nasa recently signed a contract with commercial spaceflight companies SpaceX and Boeing with the intention to produce craft capable of transporting astronauts to the ISS. The clip was recorded to give the future ISS workers an idea of what they can expect when they go into space to maintain the commercial spacecraft. In the footage Virts and Wilmore can be seen repairing the robotic arm of the space station and installing a new communication system for the future docking spacecraft. The spacewalks were in preparation for the arrival of 2017's multibillion pound commercial spacecraft . The astronauts can be seen repairing the robotic arm of the space station and installing a new communication system . Construction of the ISS began on 20 November 1998. It supports a crew of up to six, with crews split into groups of three. The station orbits at a height of about 255 miles (410km). It has a total mass of about 990,000 pounds (450,000kg) and has living space roughly equivalent to a five-bedroom house. It completes an orbit of Earth every 92.91 minutes and moves at 17,100 miles (27,600km) per hour. The two men also set up antennas and routed 4000 feet (1219m) of power and data cables. The video captures breathtakingly clear images of earth as astronauts work from a distance of 250 miles. Nasa has recently relied on Russian Soyuz capsules taking astronauts to ISS to carry out maintenance work since its space shuttle fleet was retired in 2011 after 30 years’ service. But at a cost of nearly £50 million per seat, it has not been a financially viable solution. Nasa now hope that their deals with SpaceX and Boeing can cut the cost of their future transportation fees. The International Space Station is a habitable artificial satellite in low earth orbit. It is now the largest artificial body in orbit, since its first component was launched in 1998, and is often visible to the naked eye from earth. Astronauts Virts and Wilmore set up antennas and route 4000 feet of power and data cables . The video captures breathtakingly clear images of earth as astronauts work from a distance of 250 miles .",448,9.3
